Date,Proximity to Station,Station,Item Burnt,Comments,Fire Severity
2/2/2001,S,Grand Central (Upper Level),DEBRIS,"15:36 TSS WILLIAM EXTINGUISHED A SMALL PAPER DEBRIS FIRE ON TK-1
16:06 ERT JORDAN CHECKED AREA REPORT SAME AS ABOVE NO TRACK DAMAGED. 16:12 3RAIL JOHNSON CHECKED SAID AREA AND REPORT SAME AS ABOVE.NO 3RAIL DAMAGED",1
2/3/2001,N,59 St-Columbus Cir (IND),DEBRIS,,1
2/3/2001,S,Chambers St (IND Church St),DEBRIS,"2113 M/S GUARINO (TRO/SO): REPORTSTHAT S/O CHAMBERS ST ON TRACK A3 THERE WAS A SMALL DEBRIS FIRE UNDER THE THIRD RAIL WHICH WAS EXTINGUISHED BY TSS KUHN AND M/S GUARINO, USING PORTABLE FIRE EXTINGUISHER.  TH ROADBED HAD BEEN CHIPPED OUT TO PUT IN CONDUIT ",1
2/5/2001,N,45 St,DEBRIS,,1
2/5/2001,N,42 St-Port Auth Bus Terminal,INSULATOR,"20:25 3RAIL WHITE CHANGED 3 INSULATOR ON TK-2 BY COL #1082+25  
16:55 ERT  TK REVERRA CHECKED SAID AREA AND AND REPORT BURNING INSULATOR NO TRACK DAMAGED",1
2/5/2001,S,Jay St-MetroTech (IND),INSULATOR,"18:00 3RAIL PERSAUDREPLACED BURNING INSULATOR ON RAILTK B-2 BY SIG #778 NO 3RAIL DAMAGED 
18:11 ERT JOHNSON CHECKED AREA AND REPORT THE SAME NO TRACK DAMAGED.",1
2/5/2001,I,Cathedral Pkwy (IRT 110 St) ,INSULATOR,"19:35 FLEMMING  3RAIL REPORT REPLACED 2  INSULATOR ON TK1 BY COL# 36+50 NO 3RAIL DAMAGED
19:29 ERT KAPORALECHECKED SAID AREA AND REPORT SAME NO TRACK DAMAGED",1
2/5/2001,I,168 St-Washington Heights,INSULATOR,21:02 3RAIL FLEMMING CHANGED 1 SHIM AND INSULATOR  ON TK1  COL #187+05 NO 3RAIL DAMAGED2100 ERT TK CHECKED SAME AREA AND REPORT THE SAID INSULATOR NO TRACK DAMAGED,1
2/5/2001,I,149 St-Grand Conc (Mott Haven),INSULATOR,"20:47 M/S CAMP 3RAIL CHECKED AREA AND CHANGED FIBERGLASS INSULATOR AT COL #294+60 ON TK1
1830 ERT LOVELL CHECKED AND REPORT SAME NO TRACK DAMAGED",1
2/5/2001,S,Ave P,LIGHTING TAP,"M/S1 SUTTON REPORTED, A BULB ON THE BANK OF LAMP BLEW AND WAS BURNING NEAR THE THIRD RAIL. HE MADE THE AREA SAFE.",1
2/6/2001,I,East New York Yard,ELECTRICAL WIRE,"M/S PROVIDENCE REPORTED, THE FUSE BOX FOR THE SWITCH HEATERS LOCATED NEAR SWITCH 38 ON TRACK 38 CAUGHT FIRE. DISCONNECTED THE FUSE BOX.",1
2/6/2001,I,Kew Gardens-Union Tpke,INSULATOR,"CANNING (3RAIL): WATER FROM A STATION VENT GRATING DRIPPED ON THE INSULATOR CAUSING IT TO FAIL. INSULATOR WAS REPLACED AND STATION NOTIFIED TO CHECK DRAINS IN VENT.
FRASER (TK): NO DAMAGE TO TRACK.",1
2/6/2001,S,Chambers St (IRT Varick St),DEBRIS,"JOHNSON (3RAIL) REPORTS NO DAMAGE TO 3RAIL EQUIPMENT. FIRE WAS NEAR 3RD RAIL CABLES. 
BOYCE (TK) REPORTS NO TRACK DAMAGE.",1
2/6/2001,S,Jackson Hts-Roosevelt Av,DEBRIS,SMALL TRACK FIRE CAUSE BY UMBRELLA UNDER THE TRAIN. NO TRACK OR EQUIPMENT DAMAGE.,1
2/7/2001,S,Court Sq (IND),INSULATOR,DISCARDED ALUMINUM FOIL CAUSED FIRE WHEN IT WRAPPED AROUND AN INSULATOR.,1
2/8/2001,N,96 St (Broadway),DEBRIS,,1
2/8/2001,S,Ave U (BMT McDonald Av),DEBRIS,,1
2/9/2001,I,33 St (Park Av S.),DEBRIS,,1
2/9/2001,I,Jamaica-179 St,DEBRIS,,1
2/9/2001,I,High St-Bklyn Br,DEBRIS,THE 603/C/168ST CAUSED NUMEROUS FIRES DUE TO FLAT WHEELS. NO DAMAGE TO TRACK.,1
2/9/2001,N,Ave X,ELECTRICAL WIRE,"ELECTRICAL ARC IN STOPCASE OF HOME SIGNAL 22 WHILE SIGNAL MTRS. WERE WORKING ON EQUPMENT. NO DAMAGE.
TK/INSP IMBRO (TK): NO DAMAGE TO TRACK.",1
2/9/2001,S,Kings Hwy (E16 St),LARGE OBJECT DEBRIS,"1855 ERT MILLER (TRK): REPORTS THAT 600"" S/O SIG# 655 THERE WAS ONE SCORCH MARK ON THE THIRD RAIL, AND TWO SCORCH MARKS ON THE RUNNING RAIL. THIS WAS DUE TO A SHOPPING CART BEING THROWN ON THE TRACK BY VANDALS, WHICH WAS OVER RUN BY A N/B ""Q"" TRAIN. THERE",1
2/10/2001,I,14 St (IND 8 Av),INSULATOR,"FIBERGLAS INSULATOR ARCING DUE TO OVERHEAD DRAINPIPE LEAKING INSULATOR REMOVED AND REPLACED WITH A PORCELAIN ONE SAFE FOR SERVICE. STATIOM MTCE NOTIFIED OF OVERHEAD LEAK, WILL CHECK AREA. CHARGE TO INFRASTRUCTURE.",1
2/11/2001,S,4 Av / 9 St (BMT),DEBRIS,,1
2/12/2001,N,Hunters Pt Av,TIE,,1
2/12/2001,N,145 St (IRT Broadway),DEBRIS,,1
2/13/2001,I,96 St (Broadway),DEBRIS,FRAZIER (TK/INSP): AN ALUMINUM PLATE WAS BURNING ON TOP OF A SHORT TIE BLOCK BWTWEEN THE EAST RUNNING RAIL AND THE THIRD RAIL. A FIRE EXTINGUSHER WAS USED TO PUT OUT THE FIRE. THERE WAS NO DAMAGE TO THE TIE.,1
2/14/2001,N,14-Union Sq. (IRT 4 Av),CABLE,CABLE HANGING FROM WORK TRAIN #7 GROUNDED TO THIRD RAIL CAUSING EXPLOSION.,1
2/15/2001,S,Bergen St (IRT Flatbush Av),INSULATOR,04:46 -=   SUPT WHITAKER (3RAIL) CANDITION WAS DUE TO WATER DRIPING ON INSULATOR FROM OVER HEAD VENT POWER WAS REMOVED AND INSULATOR CHANGED NO DAMAGE TO 3RAIL - 0536 TK/INSP)TILLMAN NO DAMAGE TO TRACK.,1
2/16/2001,I,Prospect Av (IRT Bronx),DEBRIS,PAPER CATCHER WAS ON FIRE IN THE STATION,1
2/16/2001,I,9 Av (39 St),DEBRIS,FIRE BETWEEN SWITCH 371B ON TRACK D4 AND SWITCH 361B ON TRACK D3. ROSADO (TK) REPORTS NO DAMAGE. WOISIN (3RAIL) REPORTS NO DAMAGE.,1
2/16/2001,N,Chauncey St,DEBRIS,,1
2/16/2001,S,Mosholu Parkway,EQUIPMENT,"21:26 M/S ITTY 3RAIL REPORT THERE IS A TRACK PANEL JOB ON TRACK  #1, THE CONTACT RAIL IS SLIGHTLY LOW AT STREET BET COL#409-410, AREA IS SAFE FOR SERVICE ,AM TOUR WILL FOLLOW UP.",1
2/16/2001,I,Wall St (IRT Water St),DEBRIS,"19:51 ERT ROBERTSON CHECKED AREA AND REPORT THERE WAS A PAPER DEBRIS FIRE BETWEEN FLANGEWAY WHICH WAS PUT OUT BY FIRE DEPT.
19:52 3RAIL SUTTON CHECKED AREA AND REPORT SAME AS ABOVE AT COL #206+50 ON TK-3",1
2/17/2001,N,Fulton St (IND Lower Level),DEBRIS,ALUMINUM CAN CAUSING SHORT BETWEEN BRACKET AND 3RAIL. CAN WAS REMOVED.,1
2/18/2001,S,Eastern Pkwy Bklyn Mus. (IRT),DEBRIS,,1
2/18/2001,I,86 St (BMT 4 Av),DEBRIS,,1
2/18/2001,S,Knickerbocker Av,INSULATOR,THIRD RAIL AND TRACK PERSONEL CHECKED THE AREA AND FOUND A SHIM GROUNDED FROM UNDER THE 3RD RAIL INSULATOR AT THE LOCATION.,1
2/20/2001,I,96 St (Broadway),INSULATOR,CONDITION WAS CAUSED BY WASH GANG WORKING IN STATION SPRAYING WATER ON THE INSULATOR,1
2/20/2001,I,South Ferry,DEBRIS,"DEBRIS FIRE EXTINGUISHED BY FD, NO DAMAGE.",1
2/21/2001,S,34 St-Herald Sq (IND),ELECTRICAL WIRE,BANK OF LAMP WAS HUNG UP ON WALL. THE TRAIN HOOKED ONTO THE WIRE AS IT WENT THROUGH THE AREA CAUSING THE EXPLOSION.,1
2/21/2001,I,14 St-Union Sq (BMT Upper Lev),LIGHTING TAP,WIRE FROM THIRD RAIL LIGHTING TAP BOX WAS SHORTED. WASH GANG WAS IN THE STATION.,1
2/21/2001,I,Sheepshead Bay,DEBRIS,,1
2/22/2001,N,E 180 St,CABLE,"6 CABLES WAS FOUND TO BE DAMAGE AT THE LOCATION OF THE FIRE.  THE CABLES CONTROL SWITCH 31, SIGNAL 36L AND TWO TRACK CIRCUIT.",2
2/22/2001,I,E 180 St,DEBRIS,,1
2/22/2001,I,Newkirk Av (IRT),DEBRIS,,1
2/22/2001,N,Chambers St (IRT Varick St),DEBRIS,"FIRE WAS IN THE SWITCH AREA.  SIGNAL TEST OPERATED SWITCHES 11B AND 15A, AND FOUND THEM WORKING AS DESIGNED.",1
2/22/2001,I,Prospect Park,VEGETATION,,1
2/22/2001,N,Dyckman St (IRT),DEBRIS,"22:24 ERT ORTIZ CHECKED AREA ON TK-1 AT COL#258+50 REMOVED BAGS TO WIDE AREA TRACK IS SAFE 
22:24 TRO/N PETERSON CHECKED SAID AREA REPORT SAME AS TRACK AREA IS SAFE",1
2/23/2001,I,Boro Hall (Lex. Av lines),DEBRIS,,1
2/23/2001,S,Northern Blvd,DEBRIS,FIRE UNDER 3RAIL S/STA. NO DAMAGE.,1
2/23/2001,N,Utica Av (IND Fulton St.),DEBRIS,,1
2/24/2001,S,Prospect Park,ELECTRICAL WIRE,VANDALS WRAPPED WIRE AROUND THIRD RAIL AND CAUSED EXPLOSION UNDER TRAIN,1
2/25/2001,N,Wall St (IRT Water St),DEBRIS,SMALL DEBRIS FIRE PUT OUT BY  FD NO TRACK DAMAGE.,1
2/25/2001,N,Kew Gardens-Union Tpke,DEBRIS,SMALL DEBRIS FIRE NO TRACK DAMAGE SAFE FOR SERVICE.,1
2/26/2001,N,President St,INSULATOR,ARCING INSULATOR DUE TO WATER COMUNG FROM THE VENT. STATION MTCE PERSONNEL AWARE OF CONDITION.  CHARGE TO INFRASTRUCTURE.,1
2/26/2001,S,36 St (4 Av),DEBRIS,,1
2/26/2001,I,Lexington Av / 59 St (BMT),DEBRIS,,1
2/26/2001,S,5 Av-Bryant Park,DEBRIS,"19""""48 ERRT BENNEWITZ REPORT PAPER DEBRIS FIRE IN FLANGEWAY ON TK-1 AT COLUMN #12+90 WHICH WAS SELF EXTINGUISH NO TRACK DAMAGED.  19:53 3RAIL KARL REPORT PAPER DEBRIS  FIRE SELF EXTINGUISH NO 3RAIL DAMAGED.",1
2/27/2001,I,14-Union Sq. (IRT 4 Av),DEBRIS,,1
2/27/2001,I,7 Av (53 St),DEBRIS,DEBRIS UNDER THIRD RAIL. NO DAMAGE.,1
2/28/2001,I,Livonia Yard,TIE,,1
3/1/2001,N,34 St-Herald Sq (IND),DEBRIS,,1
3/1/2001,N,Dekalb Av (Flatbush),DEBRIS,SMALL DEBRIS FIRE NO TRACK DAMAGE,1
3/1/2001,S,Ave U (BMT W 8 St),DEBRIS,,1
3/1/2001,S,Crown Heights-Utica Av (IRT),DEBRIS,TILLMAN (TK/MTCE) GASTON (3RAIL) REPORT SMALL DEBRIS FIRE SELF EXTINGUISHED NO DAMAGE TO TRACK OR THIRD RAIL EQUIPMENT.,1
3/3/2001,I,West Farms Sq-E Tremont Av,DEBRIS,TK M/S BOONE REPORTS DEBRIS FIRE IN THE THRU SPAN.  EXTINGUISH BY FIRE DEPT. WITH WATER.  NO DAMAGE TO ANY EQUIPMENT.  AREA SAFE FOR SERVICE.,1
3/4/2001,S,42 St-Bryant Pk (BMT 6 Av),DEBRIS,,1
3/4/2001,S,Kings Hwy (BMT W8 St),DEBRIS,SMALL DEBRIS FIRE NO EQUIPMENT DAMAGE SAFE FOR SERVICE.,1
3/4/2001,S,Houston St,DEBRIS,SMALL DEBRIS FIRE PUT OUT BY EMPLOYEE NO EQUIPMENT DAMAGE.,1
3/5/2001,S,Flushing Main St,DEBRIS,,1
3/5/2001,S,Canal St (IRT Lafayette),DEBRIS,1653 ERT MANRESA REPORT TIN FOIL LODGED UNDER 3RAIL CAUSED SCORCH TIES TO BURNT SLIGHTLY ON TK-1 COL#8+90 NO TRACK DAMAGED .17:44 3RAIL CHECKED AREA ON TK-1 COL #8+90 NO 3RAIL DAMAGED. POWER WAS TAKEN OFF AT 16:34 HRS AND RESTORED AT 16:42 HRS TRACK IS SA,1
3/5/2001,N,Times Sq-42 St (IRT Upper Lvl),INSULATOR,20:23 LARSEN 3RAIL REPLACED (2) ARCING INSULATORS BOTH ON TRACK 2/3 ON COL#8+50 NO 3RAIL DAMAGED TRACK IS SAFE ROR SERVICE.,1
3/5/2001,N,42 St-Port Auth Bus Terminal,DEBRIS,1701 ERT M/S HARVEY CHECKED AREA ON TKA-4 AT COL # 1082+10 SMALL PAPER DEBRIS FIRE WAS PUT OUT BY TWR OPERATOR  TAYLOR 18:11 3RAIL LARSEN CHECKED AREA AND REPORT SAME NO 3RAIL DAMAGED,1
3/5/2001,S,Prince St,INSULATOR,20:45 3RAIL WILLIAM CHANGED ARCING INSULATOR ON B-1TK  AT SIG#177 NO 3RAIL DAMAGED TRACK IS SAFE FOR SERVICE.,1
3/5/2001,N,Dekalb Av (Flatbush),INSULATOR,POWER WAS REMOVED AT 23:38 INSULATOR WAS REPLACED AND POWER RESTORED AT23:42.,1
3/6/2001,S,125 St (IND St. Nicholas Av),ELECTRICAL WIRE,,1
3/6/2001,I,59 St-Columbus Circle (IRT),DEBRIS,,1
3/8/2001,N,Times Sq-42 St (IRT Upper Lvl),DEBRIS,,1
3/8/2001,I,Spring St (IRT Lafayette St),DEBRIS,DEBRIS FIRE EXTINGUISHED BY FD. NO TRACK DAMAGE SAFE FOR SERVICE.,1
3/8/2001,S,Flushing Main St,DEBRIS,JACKSON (TK/INSP): RCI PEARS PUT OUT FIRE USING A PORTABLE FIRE EXTINGUISHER. NO NO DAMAGE TO TRACK. THE FIRE WAS LOCATED IN FROG AREA OF SWITCH 299B ON TRACK M.,1
3/9/2001,N,Broadway Jctn-(ENY IND) ,DEBRIS,,1
3/9/2001,I,42 St-Port Auth Bus Terminal,INSULATOR,,1
3/9/2001,S,34 St-Penn Sta (IRT 7 Av),DEBRIS,18:00 TSS PUT OUT A FLANGEWAY DEBRIS FIRE ON ROADBED ON TK-3 18:22 ERT CAPORALE CHECKED AREA AND FOUND A LOTS OF WATER ON GROUND,1
3/10/2001,N,Broadway Jctn-(ENY IND) ,DEBRIS,"SMALL DEBRIS FIRE NO TRACK DAMAGE, SAFE FOR SERVICE",1
3/10/2001,N,W 4 St (IND Wash Sq),TIE,,1
